"","1-FIREFUNGI_S1_L001_R1_001.fastq.gz","10-FIREFUNGI_S1_L001_R1_001.fastq.gz","11-FIREFUNGI_S1_L001_R1_001.fastq.gz","12-FIREFUNGI_S1_L001_R1_001.fastq.gz","13-FIREFUNGI_S1_L001_R1_001.fastq.gz","14-FIREFUNGI_S1_L001_R1_001.fastq.gz","15-FIREFUNGI_S1_L001_R1_001.fastq.gz","16-FIREFUNGI_S1_L001_R1_001.fastq.gz","17-FIREFUNGI_S1_L001_R1_001.fastq.gz","18-FIREFUNGI_S1_L001_R1_001.fastq.gz","19-FIREFUNGI_S1_L001_R1_001.fastq.gz","2-FIREFUNGI_S1_L001_R1_001.fastq.gz","20-FIREFUNGI_S1_L001_R1_001.fastq.gz","21-FIREFUNGI_S1_L001_R1_001.fastq.gz","22-FIREFUNGI_S1_L001_R1_001.fastq.gz","23-FIREFUNGI_S1_L001_R1_001.fastq.gz","24-FIREFUNGI_S1_L001_R1_001.fastq.gz","25-FIREFUNGI_S1_L001_R1_001.fastq.gz","26-FIREFUNGI_S1_L001_R1_001.fastq.gz","27-FIREFUNGI_S1_L001_R1_001.fastq.gz","28-FIREFUNGI_S1_L001_R1_001.fastq.gz","29-FIREFUNGI_S1_L001_R1_001.fastq.gz","3-FIREFUNGI_S1_L001_R1_001.fastq.gz","30-FIREFUNGI_S1_L001_R1_001.fastq.gz","31-FIREFUNGI_S1_L001_R1_001.fastq.gz","32-FIREFUNGI_S1_L001_R1_001.fastq.gz","33-FIREFUNGI_S1_L001_R1_001.fastq.gz","34-FIREFUNGI_S1_L001_R1_001.fastq.gz","35-FIREFUNGI_S1_L001_R1_001.fastq.gz","36-FIREFUNGI_S1_L001_R1_001.fastq.gz","37-FIREFUNGI_S1_L001_R1_001.fastq.gz","38-FIREFUNGI_S1_L001_R1_001.fastq.gz","39-FIREFUNGI_S1_L001_R1_001.fastq.gz","4-FIREFUNGI_S1_L001_R1_001.fastq.gz","40-FIREFUNGI_S1_L001_R1_001.fastq.gz","41-FIREFUNGI_S1_L001_R1_001.fastq.gz","42-FIREFUNGI_S1_L001_R1_001.fastq.gz","43-FIREFUNGI_S1_L001_R1_001.fastq.gz","44-FIREFUNGI_S1_L001_R1_001.fastq.gz","45-FIREFUNGI_S1_L001_R1_001.fastq.gz","46-FIREFUNGI_S1_L001_R1_001.fastq.gz","47-FIREFUNGI_S1_L001_R1_001.fastq.gz","48-FIREFUNGI_S1_L001_R1_001.fastq.gz","49-FIREFUNGI_S1_L001_R1_001.fastq.gz","5-FIREFUNGI_S1_L001_R1_001.fastq.gz","50-FIREFUNGI_S1_L001_R1_001.fastq.gz","51-FIREFUNGI_S1_L001_R1_001.fastq.gz","52-FIREFUNGI_S1_L001_R1_001.fastq.gz","53-FIREFUNGI_S1_L001_R1_001.fastq.gz","54-FIREFUNGI_S1_L001_R1_001.fastq.gz","55-FIREFUNGI_S1_L001_R1_001.fastq.gz","56-FIREFUNGI_S1_L001_R1_001.fastq.gz","57-FIREFUNGI_S1_L001_R1_001.fastq.gz","58-FIREFUNGI_S1_L001_R1_001.fastq.gz","59-FIREFUNGI_S1_L001_R1_001.fastq.gz","6-FIREFUNGI_S1_L001_R1_001.fastq.gz","60-FIREFUNGI_S1_L001_R1_001.fastq.gz","61-FIREFUNGI_S1_L001_R1_001.fastq.gz","62-FIREFUNGI_S1_L001_R1_001.fastq.gz","63-FIREFUNGI_S1_L001_R1_001.fastq.gz","64-FIREFUNGI_S1_L001_R1_001.fastq.gz","65-FIREFUNGI_S1_L001_R1_001.fastq.gz","66-FIREFUNGI_S1_L001_R1_001.fastq.gz","67-FIREFUNGI_S1_L001_R1_001.fastq.gz","68-FIREFUNGI_S1_L001_R1_001.fastq.gz","69-FIREFUNGI_S1_L001_R1_001.fastq.gz","7-FIREFUNGI_S1_L001_R1_001.fastq.gz","70-FIREFUNGI_S1_L001_R1_001.fastq.gz","71-FIREFUNGI_S1_L001_R1_001.fastq.gz","72-FIREFUNGI_S1_L001_R1_001.fastq.gz","73-FIREFUNGI_S1_L001_R1_001.fastq.gz","74-FIREFUNGI_S1_L001_R1_001.fastq.gz","75-FIREFUNGI_S1_L001_R1_001.fastq.gz","76-FIREFUNGI_S1_L001_R1_001.fastq.gz","77-FIREFUNGI_S1_L001_R1_001.fastq.gz","78-FIREFUNGI_S1_L001_R1_001.fastq.gz","79-FIREFUNGI_S1_L001_R1_001.fastq.gz","8-FIREFUNGI_S1_L001_R1_001.fastq.gz","80-FIREFUNGI_S1_L001_R1_001.fastq.gz","9-FIREFUNGI_S1_L001_R1_001.fastq.gz"
"ASV_1",393,9255,630,48,278,383,1748,119,2668,1584,347,7553,2632,9178,439,428,1041,8553,87,14324,759,61,2563,37,718,861,120,1320,881,1935,2169,7005,21,3727,953,1427,3702,455,1167,0,1770,1183,1708,1056,364,253,5,0,0,779,0,0,0,0,0,9506,0,0,0,4,0,0,0,0,1212,76,7011,0,786,397,2006,191,460,851,0,0,0,1128,0,1616
"ASV_2",1966,94,68,2044,1077,265,91,5766,1718,339,299,5070,251,38,4993,233,1953,1420,1497,782,31,4348,105,3911,242,3892,1870,184,2083,4616,271,403,135,1951,129,2149,2869,31,167,60,1527,4142,1990,4777,3269,706,12,0,4,4467,0,44,0,0,0,2140,0,0,0,0,0,0,0,0,368,74,235,0,27,38,7922,3934,3382,3446,0,0,0,1575,0,976
"ASV_3",3278,152,40,1239,2556,69,101,1509,1644,73,1231,2932,67,24,717,113,448,2646,3729,384,57,5324,45,3266,107,798,306,79,476,2908,1399,464,19,4577,2841,1188,5009,187,648,153,3124,2226,1877,10554,2994,206,29,0,27,3993,0,189,4,0,0,1784,43,4,5,130,76,0,98,114,176,116,646,2,10,81,1130,2416,3485,1287,0,21,31,3619,12,871
"ASV_4",568,841,0,417,2300,157,212,246,653,1266,909,1502,960,285,5391,9457,304,514,1753,408,596,1597,0,1965,381,968,2407,929,1455,2443,805,805,162,1889,189,2322,2916,269,261,0,1541,5565,1201,680,1830,173,0,0,0,1125,0,0,0,0,0,3442,0,0,0,0,0,0,0,0,2581,218,362,0,1069,0,1734,1841,572,4693,0,0,0,558,0,1614
"ASV_5",27,2433,10991,11279,3383,4563,170,1815,3236,226,1405,84,928,6591,823,357,9882,0,0,0,0,42,14,23,105,2814,24,626,879,526,694,485,208,830,36,747,600,242,611,0,59,0,0,122,96,28,0,0,0,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,293,921,67,341,137,89,0,0,0,37,0,651
"ASV_6",776,0,27,149,0,295,26,359,191,20,0,0,110,1479,58,55,105,0,17,0,35,199,0,292,4207,1683,522,209,320,36,0,350,1570,0,196,670,0,91,1080,23,3223,410,931,727,783,15372,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,76,0,0,30,10194,12253,1946,37,169,0,0,9,2056,0,0
"ASV_7",804,511,11057,305,116,689,2392,0,13,681,3694,119,0,64,0,2336,642,9,11,279,164,102,608,246,2513,15,26,219,0,51,1600,1408,116,13,1896,69,0,410,4910,271,299,221,346,13,304,1881,396,0,18,7,77,11,366,694,343,6,116,603,42,44,50,236,111,43,239,35,38,197,5299,382,14,0,29,44,775,0,1034,249,138,36
"ASV_8",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,3,0,0,23153,0,0,0,18844,2,4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9",1207,4652,91,260,0,0,502,0,139,2958,175,171,0,41,74,349,5207,308,0,378,151,809,221,858,1117,111,494,291,162,0,29,776,1013,11,0,0,0,0,684,0,1162,0,137,133,1446,0,208,49,0,130,0,0,247,0,0,259,172,0,0,0,39,41,93,0,706,6504,306,567,4501,69,0,0,2249,74,444,51,592,154,65,940
"ASV_10",0,0,88,11,0,0,0,0,0,177,0,0,0,0,0,0,0,0,377,0,8441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,516,2,0,0,445,0,0,0,1054,108,0,0,0,0,0,3216,5188,0,0,0,0,0,0,0,8249,0,7936,0
"ASV_11",1565,0,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0,295,0,1666,0,208,1558,408,270,0,871,1483,769,73,1346,490,3405,111,1095,256,79,275,7172,219,2187,458,511,87,809,1673,0,0,0,552,0,13,0,0,0,0,0,0,0,0,0,0,0,0,43,2905,26,0,0,1470,482,0,475,32,0,0,0,61,0,0
"ASV_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,54,0,0,41,0,0,0,0,0,0,0,0,0,38,0,397,0,104,0,3740,0,0,0,0,0,272,0,0,2900,0,285,10180,0,61,200,0,991,691,2965,2375,1628,946,0,3740,0,0,0,0,0,0,0,0,0,0,11,2673,14,0,52,0
