"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"1","ECM_richness","pc1",-0.1111,"0.1941",29,-0.5721,0.5717,-0.088,""
"2","ECM_richness","C_N_ratio",0.3441,"0.1039",29,3.3119,0.0025,0.6912,"**"
"3","ECM_richness","A_phosphorus_ppm_105",0.0253,"0.0118",29,2.1458,0.0404,0.3583,"*"
"4","ECM_richness","Ntotal_g_100g_105",9.8275,"5.2135",29,1.885,0.0695,0.707,""
"5","ECM_richness","SOM_per_corregido",-0.5116,"0.2161",29,-2.3673,0.0248,-1.1449,"*"
"6","ECM_richness","MBC_mg_kg_105",0.0049,"0.0028",29,1.7699,0.0873,0.4163,""
"7","ECM_richness","Ca_g_kg",1.5568,"0.6683",29,2.3293,0.027,0.4122,"*"
"8","ECM_richness","Mg_g_kg",0.9289,"0.5878",29,1.5803,0.1249,0.6386,""
"9","ECM_richness","Al_g_kg",0.2372,"0.0804",29,2.9497,0.0062,0.9836,"**"
"10","ECM_richness","Fe_g_Kg",-0.483,"0.1454",29,-3.3222,0.0024,-1.5129,"**"
"11","LSp_richness","pc1",0.0374,"0.1305",31,0.2863,0.7766,0.0263,""
"12","LSp_richness","pH",1.2652,"0.4686",31,2.7002,0.0111,0.3753,"*"
"13","LSp_richness","A_phosphorus_ppm_105",0.0246,"0.0076",31,3.2508,0.0028,0.3089,"**"
"14","LSp_richness","MBC_mg_kg_105",0.0104,"0.002",31,5.3058,0,0.7807,"***"
"15","LSp_richness","Mg_g_kg",1.6812,"0.4008",31,4.195,2e-04,1.0273,"***"
"16","LSp_richness","Fe_g_Kg",-0.2102,"0.0995",31,-2.1117,0.0429,-0.5851,"*"
"17","LSp_richness","Zn_mg_Kg_105",-0.053,"0.0289",31,-1.8317,0.0766,-0.4374,""
"18","LSp_richness","Ntotal_g_100g_105",1.1349,"2.0136",31,0.5636,0.5771,0.0726,""
"19","USp_richness","pc1",-0.4042,"0.1734",26,-2.3306,0.0278,-0.233,"*"
"20","USp_richness","pH",-1.6206,"0.8273",26,-1.959,0.0609,-0.3934,""
"21","USp_richness","EC",-0.0293,"0.0174",26,-1.6832,0.1043,-0.3697,""
"22","USp_richness","C_N_ratio",-0.0857,"0.1006",26,-0.8519,0.4021,-0.1252,""
"23","USp_richness","NO3_mgL_105",1.0028,"0.3557",26,2.8192,0.0091,0.5659,"**"
"24","USp_richness","Nematode_g_105",-0.0842,"0.0537",26,-1.5665,0.1293,-0.1963,""
"25","USp_richness","Ca_g_kg",1.5667,"0.9342",26,1.6771,0.1055,0.3017,""
"26","USp_richness","Mg_g_kg",-0.6659,"0.7629",26,-0.8729,0.3907,-0.3329,""
"27","USp_richness","Na_g_kg",19.796,"20.696",26,0.9565,0.3476,0.177,""
"28","USp_richness","Al_g_kg",0.088,"0.0782",26,1.126,0.2704,0.2655,""
"29","USp_richness","Fe_g_Kg",0.2856,"0.1752",26,1.6303,0.1151,0.6505,""
"30","USp_richness","Zn_mg_Kg_105",-0.0795,"0.0398",26,-1.9963,0.0565,-0.5374,""
"31","USp_richness","Cu_mg_Kg_105",-0.403,"0.1954",26,-2.0625,0.0493,-0.3407,"*"
"32","C_N_ratio","pc1",0.7564,"0.2487",38,3.0414,0.0043,0.2985,"**"
"33","~~C_N_ratio","~~Mg_g_kg",-0.345,"-",40,-2.2356,0.0157,-0.345,"*"
"34","~~C_N_ratio","~~Al_g_kg",-0.3249,"-",40,-2.0899,0.0218,-0.3249,"*"
"35","~~C_N_ratio","~~Fe_g_Kg",-0.3318,"-",40,-2.1392,0.0195,-0.3318,"*"
"36","~~C_N_ratio","~~Zn_mg_Kg_105",-0.359,"-",40,-2.3393,0.0124,-0.359,"*"
"37","~~C_N_ratio","~~Ntotal_g_100g_105",-0.309,"-",40,-1.9762,0.0278,-0.309,"*"
"38","~~C_N_ratio","~~NO3_mgL_105",-0.4827,"-",40,-3.3529,9e-04,-0.4827,"***"
"39","~~C_N_ratio","~~Cu_mg_Kg_105",-0.44,"-",40,-2.9801,0.0025,-0.44,"**"
