"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"1","observed","pc1",0.474,"2.2633",30,0.2094,0.8355,0.0207,""
"2","observed","C_N_ratio",1.7866,"1.197",30,1.4926,0.146,0.3455,""
"3","observed","A_phosphorus_ppm_105",0.5589,"0.1457",30,3.8355,6e-04,0.7064,"***"
"4","observed","Phosphatase_activity_µmol_g_h",0.3591,"0.2229",30,1.611,0.1177,0.3363,""
"5","observed","NH4_mgL_105",-2.5616,"1.4862",30,-1.7237,0.0951,-0.4066,""
"6","observed","MBC_mg_kg_105",0.115,"0.0331",30,3.472,0.0016,2.2569,"**"
"7","observed","Mg_g_kg",19.4412,"5.2568",30,3.6983,9e-04,0.8982,"***"
"8","observed","Al_g_kg",1.4248,"0.71",30,2.0067,0.0539,0.2597,""
"9","observed","Zn_mg_Kg_105",-1.5791,"0.4573",30,-3.4529,0.0017,-0.7517,"**"
"10","MBC_mg_kg_105","pc1",99.8173,"30.5198",38,3.2706,0.0023,0.2224,"**"
"11","~~MBC_mg_kg_105","~~NH4_mgL_105",0.3216,"-",40,2.0663,0.0229,0.3216,"*"
"12","~~MBC_mg_kg_105","~~C_N_ratio",0.2454,"-",40,1.54,0.066,0.2454,""
