"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"1","ECM_richness","pc1",0.5237,"0.1665",30,3.1464,0.0037,0.4152,"**"
"2","ECM_richness","pH",-0.5456,"0.4596",30,-1.1871,0.2445,-0.1882,""
"3","ECM_richness","A_phosphorus_ppm_105",-0.0032,"0.0066",30,-0.4814,0.6337,-0.0731,""
"4","ECM_richness","NH4_mgL_105",-0.052,"0.0652",30,-0.7982,0.431,-0.1497,""
"5","ECM_richness","MBC_mg_kg_105",-5e-04,"7e-04",30,-0.7089,0.4839,-0.1644,""
"6","ECM_richness","K_g_kg",0.4,"0.3529",30,1.1333,0.2661,0.2504,""
"7","ECM_richness","Mg_g_kg",-0.2557,"0.2453",30,-1.0422,0.3057,-0.2141,""
"8","ECM_richness","Al_g_kg",-0.0107,"0.0508",30,-0.2107,0.8346,-0.0353,""
"9","ECM_richness","NO3_mgL_105",-0.1401,"0.0507",30,-2.7655,0.0096,-0.4146,"**"
"10","USp_richness","pc1",-0.5251,"0.2745",29,-1.9133,0.0656,-0.2379,""
"11","USp_richness","A_phosphorus_ppm_105",0.0224,"0.0094",29,2.3743,0.0244,0.2932,"*"
"12","USp_richness","NH4_mgL_105",0.0821,"0.1127",29,0.7287,0.472,0.135,""
"13","USp_richness","SOM_per_corregido",-0.0679,"0.067",29,-1.0128,0.3195,-0.1587,""
"14","USp_richness","Mg_g_kg",0.6963,"0.4875",29,1.4283,0.1639,0.3332,""
"15","USp_richness","Al_g_kg",0.0815,"0.1038",29,0.7854,0.4386,0.1539,""
"16","USp_richness","Zn_mg_Kg_105",-0.0539,"0.0468",29,-1.152,0.2587,-0.2659,""
"17","USp_richness","Cu_mg_Kg_105",-0.3616,"0.2058",29,-1.7573,0.0894,-0.3122,""
"18","USp_richness","MBC_mg_kg_105",0.0011,"9e-04",29,1.151,0.2591,0.2205,""
"19","USp_richness","NO3_mgL_105",0.2553,"0.0825",29,3.0931,0.0044,0.4316,"**"
"20","LSp_richness","pc1",0.8495,"0.2014",30,4.218,2e-04,0.5388,"***"
"21","LSp_richness","pH",-1.019,"0.5047",30,-2.0191,0.0525,-0.2813,""
"22","LSp_richness","A_phosphorus_ppm_105",0.02,"0.0069",30,2.879,0.0073,0.3657,"**"
"23","LSp_richness","NH4_mgL_105",-0.0339,"0.0632",30,-0.5358,0.596,-0.0779,""
