ASV;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80
ASV_1;396;7553;2563;3727;364;9620;7011;1128;1616;9255;630;48;278;383;1748;119;2668;1584;347;2632;9178;439;428;1041;8555;87;14324;759;61;37;722;861;120;1320;881;1935;2175;7005;21;953;1547;3702;455;1167;0;1770;1183;1708;1056;253;5;0;0;779;0;0;0;0;0;0;0;0;4;0;0;0;0;1212;76;0;786;397;2006;191;460;988;0;0;0;0
ASV_10;0;0;0;0;0;0;0;0;0;0;88;11;0;0;0;0;0;177;0;0;0;0;0;0;0;377;0;8441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;774;0;0;0;0;516;2;0;445;0;0;0;1054;108;0;0;0;0;3216;5188;0;0;0;0;0;0;0;8249;7936
ASV_100;59;65;0;0;93;260;3336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;100;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;28;0;0;0;0;7;0;0;0;0;0;0;0;73;0
ASV_1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;82;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_1002;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;8;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_1003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV_1005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;12;0;0;0;0;0;0;0;17;0;0;0;0;0;57;0;0;0;0;0;0;0;0;13
ASV_1006;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;3;9;0;0;0;0;0;0;0;28;0;0;0;0;4;0;28;0;16;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
ASV_1007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;19;0;0;57;5;0;0;0;17;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
