"","total","spread","parent_id","curated","rank"
"ASV_3",94183,74,"ASV_3","parent",3
"ASV_21",23812,74,"ASV_21","parent",21
"ASV_7",53095,72,"ASV_7","parent",7
"ASV_30",17794,68,"ASV_30","parent",30
"ASV_71",6647,68,"ASV_71","parent",71
"ASV_29",18075,67,"ASV_29","parent",29
"ASV_59",8601,64,"ASV_59","parent",59
"ASV_41",13946,63,"ASV_41","parent",41
"ASV_2",104466,62,"ASV_2","parent",2
"ASV_13",34156,62,"ASV_13","parent",13
"ASV_26",18779,62,"ASV_26","parent",26
"ASV_34",15157,62,"ASV_34","parent",34
"ASV_1",123931,60,"ASV_1","parent",1
"ASV_54",9736,60,"ASV_54","parent",54
"ASV_23",21279,59,"ASV_23","parent",23
"ASV_16",29797,58,"ASV_16","parent",16
"ASV_61",8342,58,"ASV_61","parent",61
"ASV_68",6805,57,"ASV_68","parent",68
"ASV_9",44577,56,"ASV_9","parent",9
"ASV_67",6992,56,"ASV_67","parent",67
"ASV_4",81301,55,"ASV_4","parent",4
"ASV_60",8589,55,"ASV_60","parent",60
"ASV_19",25735,54,"ASV_19","parent",19
"ASV_63",8129,54,"ASV_63","parent",63
"ASV_73",6429,54,"ASV_73","parent",73
"ASV_86",5154,54,"ASV_86","parent",86
"ASV_109",3817,54,"ASV_109","parent",109
"ASV_5",71379,49,"ASV_5","parent",5
"ASV_32",15367,49,"ASV_32","parent",32
"ASV_58",8756,49,"ASV_58","parent",58
"ASV_110",3798,49,"ASV_110","parent",110
"ASV_40",14182,48,"ASV_40","parent",40
"ASV_51",10192,48,"ASV_51","parent",51
"ASV_6",63872,47,"ASV_6","parent",6
"ASV_24",19751,47,"ASV_24","parent",24
"ASV_45",12424,47,"ASV_45","parent",45
"ASV_15",30405,46,"ASV_15","parent",15
"ASV_43",13126,46,"ASV_43","parent",43
"ASV_97",4557,45,"ASV_97","parent",97
"ASV_92",4694,44,"ASV_92","parent",92
"ASV_28",18313,43,"ASV_28","parent",28
"ASV_46",12279,43,"ASV_46","parent",46
"ASV_115",3428,43,"ASV_115","parent",115
"ASV_142",2819,41,"ASV_142","parent",142
"ASV_212",1525,41,"ASV_212","parent",212
"ASV_18",27457,40,"ASV_18","parent",18
"ASV_118",3368,40,"ASV_118","parent",118
"ASV_204",1602,40,"ASV_204","parent",204
"ASV_78",6056,39,"ASV_78","parent",78
"ASV_95",4608,39,"ASV_95","parent",95
"ASV_141",2862,39,"ASV_141","parent",141
"ASV_163",2304,39,"ASV_163","parent",163
"ASV_176",1992,39,"ASV_176","parent",176
"ASV_11",36520,38,"ASV_11","parent",11
"ASV_22",23003,38,"ASV_22","parent",22
"ASV_85",5338,38,"ASV_85","parent",85
"ASV_99",4352,38,"ASV_99","parent",99
"ASV_126",3093,38,"ASV_126","parent",126
"ASV_25",19738,37,"ASV_25","parent",25
"ASV_50",10502,37,"ASV_50","parent",50
"ASV_88",5075,37,"ASV_88","parent",88
"ASV_91",4720,37,"ASV_91","parent",91
"ASV_129",3016,37,"ASV_129","parent",129
"ASV_211",1539,37,"ASV_211","parent",211
"ASV_147",2652,36,"ASV_147","parent",147
"ASV_278",1045,36,"ASV_278","parent",278
"ASV_39",14411,35,"ASV_39","parent",39
"ASV_66",7221,35,"ASV_66","parent",66
"ASV_219",1451,35,"ASV_219","parent",219
"ASV_17",29028,34,"ASV_17","parent",17
"ASV_49",11212,34,"ASV_49","parent",49
"ASV_324",803,34,"ASV_324","parent",324
"ASV_151",2594,33,"ASV_151","parent",151
"ASV_170",2138,33,"ASV_170","parent",170
"ASV_178",1986,33,"ASV_178","parent",178
"ASV_87",5103,32,"ASV_87","parent",87
"ASV_113",3559,32,"ASV_113","parent",113
"ASV_188",1812,32,"ASV_188","parent",188
"ASV_53",9976,31,"ASV_53","parent",53
"ASV_70",6725,31,"ASV_70","parent",70
"ASV_114",3494,31,"ASV_114","parent",114
"ASV_223",1429,31,"ASV_223","parent",223
"ASV_254",1205,31,"ASV_254","parent",254
"ASV_280",1035,31,"ASV_280","parent",280
"ASV_351",697,30,"ASV_351","parent",351
"ASV_419",530,30,"ASV_419","parent",419
"ASV_500",390,30,"ASV_500","parent",500
"ASV_119",3362,29,"ASV_119","parent",119
"ASV_159",2412,29,"ASV_13","merged",159
"ASV_185",1914,29,"ASV_185","parent",185
"ASV_306",889,29,"ASV_306","parent",306
"ASV_349",704,29,"ASV_349","parent",349
"ASV_83",5675,28,"ASV_83","parent",83
"ASV_162",2309,28,"ASV_162","parent",162
"ASV_384",609,28,"ASV_384","parent",384
"ASV_38",14536,27,"ASV_38","parent",38
"ASV_42",13539,27,"ASV_42","parent",42
"ASV_439",501,27,"ASV_439","parent",439
"ASV_641",254,27,"ASV_641","parent",640
"ASV_75",6295,26,"ASV_75","parent",75
"ASV_137",2886,26,"ASV_137","parent",137
"ASV_138",2879,26,"ASV_138","parent",138
"ASV_145",2738,26,"ASV_145","parent",145
"ASV_146",2705,26,"ASV_146","parent",146
"ASV_172",2056,26,"ASV_172","parent",172
"ASV_478",410,26,"ASV_478","parent",478
"ASV_695",222,26,"ASV_695","parent",695
"ASV_48",11616,25,"ASV_48","parent",48
"ASV_187",1831,25,"ASV_187","parent",187
"ASV_12",34790,24,"ASV_12","parent",12
"ASV_116",3417,24,"ASV_116","parent",116
"ASV_218",1464,24,"ASV_218","parent",218
"ASV_406",551,24,"ASV_406","parent",406
"ASV_469",425,24,"ASV_469","parent",469
"ASV_491",399,24,"ASV_491","parent",491
"ASV_65",7521,23,"ASV_65","parent",65
"ASV_74",6344,23,"ASV_74","parent",74
"ASV_80",5779,23,"ASV_80","parent",80
"ASV_169",2172,23,"ASV_169","parent",169
"ASV_424",525,23,"ASV_424","parent",424
"ASV_36",14705,22,"ASV_36","parent",36
"ASV_148",2651,22,"ASV_148","parent",148
"ASV_238",1324,22,"ASV_238","parent",238
"ASV_246",1261,22,"ASV_246","parent",246
"ASV_270",1095,22,"ASV_270","parent",270
"ASV_602",283,22,"ASV_602","parent",602
"ASV_102",4150,21,"ASV_102","parent",102
"ASV_217",1492,21,"ASV_217","parent",217
"ASV_227",1412,21,"ASV_227","parent",227
"ASV_239",1319,21,"ASV_239","parent",239
"ASV_273",1073,21,"ASV_273","parent",273
"ASV_421",529,21,"ASV_421","parent",421
"ASV_557",324,21,"ASV_557","parent",557
"ASV_916",135,21,"ASV_916","parent",915
"ASV_20",25147,20,"ASV_20","parent",20
"ASV_90",4925,20,"ASV_90","parent",90
"ASV_156",2458,20,"ASV_156","parent",156
"ASV_161",2327,20,"ASV_161","parent",161
"ASV_164",2278,20,"ASV_164","parent",164
"ASV_222",1433,20,"ASV_222","parent",222
"ASV_256",1202,20,"ASV_256","parent",256
"ASV_260",1155,20,"ASV_260","parent",260
"ASV_283",1015,20,"ASV_283","parent",283
"ASV_422",529,20,"ASV_422","parent",422
"ASV_495",396,20,"ASV_495","parent",495
"ASV_522",361,20,"ASV_522","parent",522
"ASV_682",227,20,"ASV_682","parent",682
"ASV_122",3195,19,"ASV_122","parent",122
"ASV_179",1977,19,"ASV_179","parent",179
"ASV_209",1553,19,"ASV_209","parent",209
"ASV_367",661,19,"ASV_367","parent",367
"ASV_369",648,19,"ASV_369","parent",369
"ASV_517",365,19,"ASV_517","parent",516
"ASV_554",328,19,"ASV_554","parent",554
"ASV_746",199,19,"ASV_746","parent",745
"ASV_27",18480,18,"ASV_27","parent",27
"ASV_33",15233,18,"ASV_33","parent",33
"ASV_154",2479,18,"ASV_154","parent",154
"ASV_155",2478,18,"ASV_155","parent",155
"ASV_181",1953,18,"ASV_181","parent",181
"ASV_206",1586,18,"ASV_206","parent",206
"ASV_241",1301,18,"ASV_241","parent",241
"ASV_242",1301,18,"ASV_242","parent",242
"ASV_257",1193,18,"ASV_257","parent",257
