"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1",NA,NA,NA,NA,NA,NA,NA
"ASV_2","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Calyptrozyma",NA
"ASV_3","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","s__watticus"
"ASV_4","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__decumbens"
"ASV_5",NA,NA,NA,NA,NA,NA,NA
"ASV_6","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__subarcticum"
"ASV_7","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales",NA,NA,NA
"ASV_8",NA,NA,NA,NA,NA,NA,NA
"ASV_9","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"ASV_10","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Russula",NA
"ASV_11","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__subarcticum"
"ASV_12","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae",NA,NA
"ASV_13","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_14","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_15","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Anthracobia","s__macrocystis"
"ASV_16","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_17","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Monascella",NA
"ASV_18","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_19","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Calyptrozyma",NA
"ASV_20","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius",NA
"ASV_21","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"ASV_22",NA,NA,NA,NA,NA,NA,NA
"ASV_23","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__globosa"
"ASV_24","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta",NA
"ASV_25","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__adametzii"
"ASV_26","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida"
"ASV_27","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales",NA,NA,NA
"ASV_28","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_29","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA
"ASV_30","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__roseopurpureum"
"ASV_31","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_32","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA
"ASV_33","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Polyozellus","s__sciastrus"
"ASV_34","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__podzolica"
"ASV_35","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_36","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Warcupia","s__terrestris"
"ASV_37","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_38","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_39","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__decumbens"
"ASV_40","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"ASV_41","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"ASV_42","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma","s__fuscescens"
"ASV_43","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA
"ASV_44","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_45","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__lagena"
"ASV_46","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
