"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"1-MICORRIZAS_S1_L001_R1_001.fastq.gz",22797,20712,20639,20613,20323,20323
"10-MICORRIZAS_S1_L001_R1_001.fastq.gz",38375,35513,35284,35365,34808,33523
"11-MICORRIZAS_S1_L001_R1_001.fastq.gz",45015,37795,37646,37650,37223,34537
"12-MICORRIZAS_S1_L001_R1_001.fastq.gz",47444,41954,41807,41812,41459,38434
"13-MICORRIZAS_S1_L001_R1_001.fastq.gz",38870,23354,23256,23181,22423,20331
"14-MICORRIZAS_S1_L001_R1_001.fastq.gz",43416,27049,26723,26769,26232,25148
"15-MICORRIZAS_S1_L001_R1_001.fastq.gz",57685,46283,45913,45972,45697,43774
"16-MICORRIZAS_S1_L001_R1_001.fastq.gz",33395,31030,30942,30931,30856,30712
"17-MICORRIZAS_S1_L001_R1_001.fastq.gz",37999,35425,35258,35279,33951,33841
"18-MICORRIZAS_S1_L001_R1_001.fastq.gz",41426,20259,20074,20048,19375,18894
"19-MICORRIZAS_S1_L001_R1_001.fastq.gz",47675,42094,41944,41871,41081,39148
"2-MICORRIZAS_S1_L001_R1_001.fastq.gz",30702,26381,26296,26269,25797,24827
"20-MICORRIZAS_S1_L001_R1_001.fastq.gz",56509,51888,51676,51667,51126,49262
"21-MICORRIZAS_S1_L001_R1_001.fastq.gz",45430,36395,36249,36252,35932,33963
"22-MICORRIZAS_S1_L001_R1_001.fastq.gz",49053,39023,38746,38690,38171,35201
"23-MICORRIZAS_S1_L001_R1_001.fastq.gz",54542,17402,17167,17207,16790,16672
"24-MICORRIZAS_S1_L001_R1_001.fastq.gz",35890,25389,25166,25147,24538,23609
"25-MICORRIZAS_S1_L001_R1_001.fastq.gz",42871,38787,38583,38590,38429,38025
"26-MICORRIZAS_S1_L001_R1_001.fastq.gz",41812,33265,33082,33032,31882,30847
"27-MICORRIZAS_S1_L001_R1_001.fastq.gz",35582,27677,27481,27472,26780,25816
"28-MICORRIZAS_S1_L001_R1_001.fastq.gz",37818,32310,32025,32085,31462,29582
"29-MICORRIZAS_S1_L001_R1_001.fastq.gz",33901,29805,29660,29635,29260,27677
"3-MICORRIZAS_S1_L001_R1_001.fastq.gz",38589,35509,35312,35321,35002,34681
"30-MICORRIZAS_S1_L001_R1_001.fastq.gz",55166,49163,48951,48843,48176,46854
"31-MICORRIZAS_S1_L001_R1_001.fastq.gz",44074,23285,23084,23053,22102,20852
"32-MICORRIZAS_S1_L001_R1_001.fastq.gz",43252,39177,39028,38979,38702,36688
"33-MICORRIZAS_S1_L001_R1_001.fastq.gz",44711,16036,15946,15873,15712,15617
"34-MICORRIZAS_S1_L001_R1_001.fastq.gz",46277,36905,36752,36794,36346,34360
"35-MICORRIZAS_S1_L001_R1_001.fastq.gz",54059,40411,40137,40159,39126,36980
"36-MICORRIZAS_S1_L001_R1_001.fastq.gz",36118,29626,29541,29504,29345,27275
"37-MICORRIZAS_S1_L001_R1_001.fastq.gz",46129,41227,40979,40997,40435,38180
"38-MICORRIZAS_S1_L001_R1_001.fastq.gz",39701,34693,34383,34343,33545,29592
"39-MICORRIZAS_S1_L001_R1_001.fastq.gz",43718,30370,30235,30199,29692,27680
"4-MICORRIZAS_S1_L001_R1_001.fastq.gz",44620,37730,37443,37459,36812,30013
"40-MICORRIZAS_S1_L001_R1_001.fastq.gz",38573,32465,32249,32209,31585,30071
"5-MICORRIZAS_S1_L001_R1_001.fastq.gz",30399,27912,27697,27726,27349,26784
"6-MICORRIZAS_S1_L001_R1_001.fastq.gz",33776,30890,30708,30721,30121,27320
"7-MICORRIZAS_S1_L001_R1_001.fastq.gz",62446,57593,57382,57352,53331,51491
"8-MICORRIZAS_S1_L001_R1_001.fastq.gz",44206,36730,36547,36515,35666,32146
"9-MICORRIZAS_S1_L001_R1_001.fastq.gz",37204,33899,33725,33684,32520,28183
