"","Study_ID","Latitude","Longitude"
"1",421,-1.016667,"116.86666700000001"
"2",200,-38,"-71"
"3",443,-26.833333,"152.88333299999999"
"4",58,51,"-120"
"5",331,-26.25,"152.88333299999999"
"6",183,-26.25,"152.88333299999999"
"7",41,35.584622,"-83.530636999999999"
"8",186,54.283184,"-118.216606"
"9",497,-35.136108,"150.68715700000001"
"10",481,-37.911066,"143.81197700000001"
"11",260,32.39619,"-110.6938"
"12",410,33.053629,"-83.677790000000002"
"13",31,39.83153,"-7.8358790000000003"
"14",180,39.83153,"-7.8358790000000003"
"15",11,39.83153,"-7.8358790000000003"
"16",521,41.696944,"-6.2241109999999997"
"17",291,-33.767739,"150.989138"
"18",493,53.468417,"122.35216699999999"
"19",44,43.7,"-121.61666700000001"
"20",154,57.245135,"-3.6523870000000001"
"21",215,61.1,"16"
"22",191,58.043793,"-110.644034"
"23",10,65.460056,"-124.091013"
"24",449,65.460056,"-124.091013"
"25",21,42.641389,"-2.2769439999999999"
"26",92,45.399989,"-93.198616999999999"
"27",389,38.053674,"-122.887529"
"28",141,20.327825,"-74.804070999999993"
"29",474,37.020278,"-6.48"
"30",102,44.798842,"-111.290696"
"31",297,30.238056,"-82.411389"
"32",111,NA,NA
"33",76,38.249953,"-120.001614"
"34",359,34.179504,"-117.76833000000001"
"35",562,-36.537122,"142.010153"
"36",174,45.633378,"-117.217235"
"37",203,35.266667,"-111.75"
"38",436,41.696944,"-6.2241109999999997"
"39",442,41.696944,"-6.2241109999999997"
"40",251,68.109884,"-151.01973899999999"
"41",471,68.109884,"-151.01973899999999"
"42",152,63.826408,"-145.86067399999999"
"43",425,30.75,"-84"
"44",356,35.584622,"-83.530636999999999"
"45",368,-42.516667,"147.41666699999999"
"46",419,-42.516667,"147.41666699999999"
"47",545,-38.46,"144.09"
"48",372,51.2,"-120.11666700000001"
"49",29,64.700008,"14.549446"
"50",208,63.166667,"30.694683999999999"
"51",271,55.345133,"21.021471999999999"
"52",404,-37.15,"145.15"
"53",35,56.733333,"-118.333333"
"54",45,44.5,"-84.5"
"55",96,-41.255278,"-71.281389000000004"
"56",480,52.037222,"124.083611"
"57",94,45.327367,"136.49381700000001"
"58",477,0.330035,"117.53198"
"59",257,NA,NA
"60",467,41.696944,"-6.2241109999999997"
"61",460,42.133889,"-7.4380559999999996"
"62",209,34.998957,"-111.66531999999999"
"63",138,42.673547,"-4.5904389999999999"
"64",488,37.858994,"-119.525509"
"65",434,36.960092,"-119.025964"
"66",537,44.08206,"-110.682638"
"67",137,53.83286,"127.168154"
"68",121,55.345133,"21.021471999999999"
"69",457,40.990663,"-106.195426"
"70",288,31.624082,"-94.647064"
"71",70,53.366832,"21.324096999999998"
"72",279,33.056356,"-83.680222000000001"
"73",438,-35.7,"136.88333299999999"
"74",564,-35.7,"136.88333299999999"
"75",107,59.183889,"23.772221999999999"
"76",199,34.363706,"-112.274447"
"77",43,49.094827,"-121.06218200000001"
"78",225,-38,"-71.066666999999995"
"79",119,38.689986,"-79.500456"
"80",239,59.895556,"16.240832999999999"
"81",559,39.5918,"-0.73202100000000003"
"82",398,49.513615,"-91.655843000000004"
"83",238,48.602961,"-119.23058899999999"
"84",534,33.2991,"-116.800786"
"85",520,35.703989,"-83.452045999999996"
"86",294,43.7,"-121.61666700000001"
"87",213,41.05,"-2.4333330000000002"
"88",295,40.850586,"-2.0015260000000001"
"89",188,-34.461578,"116.173176"
"90",221,53.646073," -117.645071"
"91",38,63.266667,"30.75"
"92",170,38.4601,"-122.5515"
"93",155,43.500653,"-118.50566999999999"
"94",108,40.619979,"-122.521018"
"95",350,36.98,"-119.136944"
"96",211,34.689487,"-82.872074999999995"
"97",227,67.766667,"29.583333"
"98",245,40.101356,"4.5711000000000002E-2"
"99",432,-35.266531,"149.08857499999999"
"100",396,64.043772,"-145.88439500000001"
"101",373,45.365568,"-110.897442"
"102",133,39.90703,"-74.474993999999995"
"103",8,53.939925,"-124.687579"
"104",1,53.939925,"-124.687579"
"105",228,40.303294,"-105.992164"
"106",232,41.831111,"-6.5036110000000003"
"107",252,NA,NA
"108",192,41.511228," -3.699135"
"109",327,40.578931,"-2.0713569999999999"
"110",491,-17.016667,"145.58333300000001"
"111",256,60.016667,"-111.95"
"112",254,40.4,"-121.083333"
"113",448,61.96461,"-116.850157"
"114",403,50.903194,"121.194889"
"115",452,66.900245,"-136.24644499999999"
