"STUDY_ID","REVIEWERS","INCLUDE","Study_ID","AUTHORS","TITLE","JOURNAL","VOLUME","INITIAL_PAGE","END_PAGE","DOI","PUBLICATION_YEAR","ABSTRACT","INCLUSION","WHY1","INCLUSION2","Pdf_available","Type","Notes...16","INCLUSION3","WHY3","Notes...19","Country","Title"
1,"Amara","not vetted",18,NA,"SUCCESSIONAL DYNAMICS IN PEATLAND FORESTS: IS TAMARACK A KEY MEDIATOR OF POST-DISTURBANCE FOREST REGENERATION?",NA,NA,NA,NA,NA,2014,"Peatland forests represent a globally important carbon sink as well as important sources of timber and wildlife habitat. A lack of successful conifer regeneration has often been noted following timber harvest, which may be driven by competitive interactions between tree seedlings and understory plants. The proposed research will assess the role of tamarack (Larix laricina) in mediating the successional trajectory of peatland forests. Specifically, we hypothesize that the presence of tamarack favors the recruitment of black spruce (Picea mariana) through shared interactions with ectomycorrhizal (ECM) fungi and suppression of ericaceous shrub growth. We will use a combination of manipulative field- and greenhouse-based experiments to quantify the effects of tamarack on spruce recruitment. ECM fungal communities associated with both tree species in pre- and post-fire settings will also be quantified using DNA-based techniques. The research will involve collaboration between UM faculty in the departments of Plant Biology and Forest Resources, interactions with Minnesota DNR staff, and training of a junior scientist and three undergraduate students. Collectively, the results of the proposed work will have significant value for land managers interested in both tree production as well as diversity conservation.","YES",NA,"YES","NO","NA","NO INFO","NO",NA,NA,NA,"successional dynamics in peatland forests is tamarack a key mediator of postdisturbance forest regeneration"
2,"Amara","not vetted",201,NA,"Collaborative Research: Dispersal Limitation as a Primary Factor in Determining Ectomycorrhizal Community Structure",NA,NA,NA,NA,NA,2008,"Ectomycorrhizal fungi are obligate mutualists with temperate forest trees such as pines, oaks, aspens, and birch.  These fungi provide mineral nutrients to the trees in exchange for sugars, and trees require them for growth and survival.  Following severe disturbance such as forest fires or logging, trees need to reestablish their relationships with mycorrhizal fungi in order to survive.  Prior work has shown that these fungi arrive in an ordered sequence, or ""succession"", after such disturbances.  A new model is proposed to explain this observed pattern through differences in spore dispersal and competitive interactions among mycorrhizal fungi. Four key predictions of this model concerning limitations to aerial spore dispersal and effect of tree root density on fungal competition will be tested through a combination of field sampling and manipulative growth-chamber experiments.  The broader impacts of this work are that it will help us understand an essential biotic process necessary for tree establishment, and will build a foundation of basic ecological knowledge for an important group of understudied organisms.  Training of graduate and undergraduate students will be an important component of this research. In addition this work takes advantage of its location within Point Reyes National Seashore by feeding back into management decisions within the park and through outreach efforts directed towards public education.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"collaborative research dispersal limitation as a primary factor in determining ectomycorrhizal community structure"
3,"Amara","not vetted",275,NA,"Causes and Consequences of Succession in Mycorrhizal Fungus Communities",NA,NA,NA,NA,NA,2006,"Mycorrhizal fungi are ubiquitous and influential symbionts of most terrestrial plants, and their communities have been observed to replace each other over time in predictable successional order. Ecologists have no understanding how successional suites of mycorrhizal fungi differ functionally or how changes in functional traits relate to effects of mycorrhizae on plants.  Changes in the conditions of such an important symbiosis must have broad consequences for plant community and ecosystem-level dynamics. Thus, establishing an experimental and theoretical basis for understanding consequences and causes of trait variation in distinct, successional mycorrhizal communities is the central theme of the work proposed.<br/><br/>Coastal California pine forests harbor the best-studied examples of mycorrhizal succession in the world. In them a very different suite of mycorrhizal species colonize seedlings in burned areas and open dunes compared to mature forest settings, where seedlings are linked to adult trees in common mycorrhizal networks (CMNs). Experiments have shown that recruiting seedlings in forests respond very differently to these two guilds of mycorrhizal fungi; however, ecologists do not understand why these ectomycorrhizal fungal communities change over time, or how successive functional traits of successive fungi relate to their effects on plants.  Growth chamber experiments, along with the results of a three-year field experiment in a coastal California Monterey pine (Pinus radiata) forest, wil establish  differences in the mechanisms by which early- and late-stage fungi influence seedling performance in the forest understorey.<br/><br/>The proposed work will have broad implications for conservation and silviculture. In its native range of California and Mexico, Monterey pine is limited to five small populations, some of which are at risk of extinction. Outside this range, it is one of the most widely planted timber species in the world, covering millions of acres on multiple continents. As an exotic, it is both a valuable commodity that preempts the need to harvest native timber and an aggressive invader, often naturalizing in ecosystems. Three undergraduate students, a graduate student and a postdoctoral research will receive research training as part of this research. <br/>","NO","Project proposal","NO","NA","NA",NA,NA,NA,NA,NA,"causes and consequences of succession in mycorrhizal fungus communities"
4,"Amara","not vetted",323,NA,"Post-Fire Re-Colonization of Ectomycorrhizal Fungi",NA,NA,NA,NA,NA,1996,"The primary objective of this proposal is to determine how mycorrhizal fungi recolonize the roots of host pine species following fire.  The fungi are essential to the health and growth of all trees in the pine family, yet little is currently know about how they survive and re-establish themselves after fire.  Most of the research will be conducted at Pt. Reyes National Seashore in naturally regenerating Bishop pine forests.  Study sites were selected to take advantage of the recent 5100 hectare wildfire which included several areas where the pre-fire symbiotic fungal community was know in detail.  Specific questions to be addressed include:  1) What is the dominant source of post-fire fungi?  2) How is fungal species composition affected by differences in ash deposition, tree mortality, and litter removal?  and 3) What effect does fungal inoculum level have on successful seedling establishment?    An increased understanding of the dynamics of mycorrhizal populations should have important implications for our understanding of forest dynamics and reforestation practices.","YES",NA,"YES","NO","NA","NO INFO","NO",NA,NA,NA,"postfire recolonization of ectomycorrhizal fungi"
5,"Amara","not vetted",397,NA,"The mycorrhizal hyphosphere: a key driver of biogeochemical cycles?",NA,NA,NA,NA,NA,2007,"Atmospheric carbon dioxide (CO2) levels have been rising steadily since the Industrial Revolution mainly as a consequence of human activity. Increased CO2 levels result in more heat absorbed from the sun thus contributing to global warming or 'the greenhouse effect'. This in turn has serious consequences for life on earth with loss of biodiversity, melting glaciers, forest fires and fatal heat waves. One of the major causes of increased CO2 levels is the burning of fossil fuels rapidly releasing carbon that has been stored for centuries back into the atmosphere. In order to cut our use of fossil fuels we can grow crops for energy. The large-scale production of such crops will dramatically alter the agricultural landscape. Energy (or 'biomass') crops are 'carbon neutral'; when burned to generate electricity they only release the same amount of CO2 back into the atmosphere as they fixed. Thus no 'extra' CO2 is released into the atmosphere. Energy crops include tree species such as Willow and Poplar. The roots of these plant species form symbiotic associations with mycorrhizal fungi naturally present in the soil and the term mycorrhizal literally means 'fungus-root'. Of the seven different types of mycorrhizal associations the two most important types are the ectomycorrhizal (ECM) which forms on tree species, and the arbuscular mycorrhizal association (AM), which forms mainly with herbaceous species. While most plants only form one type of association, both Willow and Poplar are unusual in that they can form both ectomycorrhizal or arbuscular mycorrhizal associations. Associations with mycorrhizal fungi can have direct benefits to the plant through increased growth, enhanced nutrient capture and disease suppression. In return, the mycorrhizal fungus obtains a supply of carbon from the host plant which helps it grow and produce an extensive mycelium external to the root. Plants influence the soil immediately surrounding their roots (called the 'rhizosphere') due to the presence of the growing root and as a result of compounds released from the root into the soil. Most of these compounds lost from the root through a passive process called 'exudation', are of low molecular weight and include amino acids, simple sugars and organic acids. These compounds are an ideal substrate for the microbial community; hence microbial populations are always higher in the rhizosphere compared to the bulk soil (i.e. soil not containing roots). Colonisation of roots by mycorrhizal fungi modifies the quantity and quality of compounds released from the roots but it is unknown to what extent the fungus actually contribute to the amount and types of compounds released. Moreover, in mycorrhizal plants, the external phase of the fungus (rather than the root) is the main zone of contact with the soil thus exudation of compounds from the hyphae may also influence microbial activities in the 'hyphosphere'. There is some evidence that ECM fungi can exude simple compounds but much less information on AM fungi although they are believed to improve soil structure by release of compounds from their hyphae. Thus, in this study we will examine to what extent ECM and AM fungi influence their surrounding environment. We will determine how much carbon flows to the fungus from the plant by using the carbon isotopes 14C (which is a radioactive isotope but very sensitive and from which we can obtain images of 14C flow through the plant to the fungus) and 13C (a stable hence non harmful isotope of C). We will also determine what types of compounds are exuded from the fungi by chemical analysis and by using biosensor microorganisms which can report back (via light omission) on the compounds released and the sites of release along the hyphae using a new approach called nanoSIMS. The influence of this hyphal exudation on a key soil process, denitrification, which results in a loss of N and which is also of environmental as well as economic concern will be quantified.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"the mycorrhizal hyphosphere a key driver of biogeochemical cycles"
6,"Amara","not vetted",417,NA,"Spatial and Temporal Dimensions of the Rhizopogon Spore Bank",NA,NA,NA,NA,NA,2003,"Ectomycorrhizal (EM )spore banks are a fundamental,but poorly studied<br/>component,of plant-fungal community ecology.EM spore banks can provide<br/>the inoculum necessary for tree recruitment following severe disturbance and<br/>may facilitate tree invasion into bordering non-forested areas.Rhizopogon species<br/>are the most abundant component of spore banks in many western North<br/>American pinaceous ecosystems,and in some forest-border settings they appear<br/>to be virtually the entire spore bank.This proposal is focused on understanding<br/>the spatial and temporal dynamics of Rhizopogon spore banks in the context of<br/>cyclic fire and pine regeneration.A conceptual model for these interactions is<br/>proposed,and five specific hypotheses related to the model are tested.These<br/>hypotheses focus on differences in spore longevity and spore dispersal among<br/>Rhizopogon species,and on differences in mode and frequency of dispersal within<br/>mature-forests and post-fire forests.Measured parameters include:i)spatial<br/>pattern of the spore shadow in forest border zones,ii)current dispersal rates and<br/>modes into these zones,iii)spore longevity of three key Rhizopogon species and<br/>iv)longevity of complex native spore banks.Hypotheses will be tested by<br/>combining the techniques of bioassays,molecular ecology,large-scale spatial<br/>sampling,and seed bank ecology.The work addresses a crucial,but essentially<br/>unstudied,component of community ecology (i.e.,EM spore banks),and<br/>provides an analogous system in which to test ideas developed for plant seed<br/>banks.The broader impacts of this work are its direct relationship to forest<br/>regeneration and expansion;the ability to predict the spatial and temporal extent<br/>of the EM spore banks will provide forest managers with a rational way to assess<br/>the likelihood of EM inoculum in highly disturbed systems.","NO","Project proposal","NO","NA","NA",NA,NA,NA,NA,NA,"spatial and temporal dimensions of the rhizopogon spore bank"
7,"Amara","not vetted",447,NA,"The accumulation of carbon in forest soils and forest succession status",NA,NA,NA,NA,NA,1800,"Development of the concept of biogeochemical cycles of carbon among the most important scientific problems having fundamental character and have great practical significance. The recent Paris Climate Conference, the results of which, after two weeks of negotiations, delegations of 196 countries unanimously adopted the new agreement the UN Framework Convention on Climate Change (Adoption of the Paris agreement, 2015) confirms the very high relevance of evaluation of contribution of forests to the carbon cycle regulation. However, there are still many uncertainties in the estimates of the parameters of the carbon cycle, including soil carbon in forests at different stages of succession. Russia accounts for 22% of the world's forest resources and more than half of the world's boreal forests. The whole mosaic of successional stages of the boreal forest is presented in Russia. However, research results on the basis of which it is possible to draw certain conclusions about the relationships between the forest succession status of the different forest types and soil organic carbon accumulation and dynamics are not sufficient. Since the proportion of the soil organic carbon out of all carbon pool in the old-growth forests could achieve 90% (Johnsson et al, 2010), these issues would make a significant contribution to the assessment of the role of forest soils in regulating climate and development of sustainable forest management. The project aims to assess the links between the soil carbon reserve and successional status of forests, role of mycorrhizal fungi in soil carbon stock of forests in different stages of succession of coniferous-deciduous forests< and leaching of dissolved organic carbons from the soil of coniferous and coniferous- deciduous forests at the different stages of successions. There are three main objectives: 1- evaluation of carbon stocks in forest soils of different types at different stages of development and successional dynamics model predictions of carbon stocks in the post-fire and post-plowing successions of forests; 2- assess the role of mycorrhizal fungi in soil carbon stock of forests in different stages of succession; 3- evaluation of leaching and losses of the dissolved organic carbon, including black carbon, with soil waters. Scientific novelty lem is in assessment of the relationships between the successional status of forests and soil carbon accumulation and dynamics in forests at the northern tree line, in northern, middle taiga and mixed coniferous-deciduous forests, taking into account vertical (within the profile) and horizontal (within- the- biogeocoensis, between the biogeocoenoses, landscape) variability. The contribution of ectomycorrhizal fungi into the soil carbon stock in lowland coniferous-deciduous forests at different stages of post-fire successions will be evaluated. The long-term (over 20 years) assessment of the dynamics of leaching of dissolved organic carbon from the soil in forests at the northern tree line on the different stages of successions will be given. The model forecast of the dynamics of carbon stock in forest soils of different types at different stages of post-fire and post-plowing successions, taking into account different scenarios of climate change, will be done.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"the accumulation of carbon in forest soils and forest succession status"
8,"Amara","not vetted",483,NA,"DISSERTATION RESEARCH: Changes in Ectomycorrhizal Fungal Communities Along a Nitrogen Deposition Gradient and Their Consequences for Host Tree Performance",NA,NA,NA,NA,NA,2004,"Ectomycorrhizal fungi are abundant, diverse, and ecologically important microorganisms in forest soils throughout the world. Through intimate connections they form with tree roots, they trade essential nutrients obtained from the soil for carbon acquired by trees through photosynthesis. Tree growth in nutrient limited forests can be greatly enhanced in this manner, making the ectomycorrhizal fungal community an important determinant of forest productivity. Increasing amounts of nitrogen produced by the burning of fossil fuels are being deposited in forests of the northeastern U.S. The resulting increases in acidity, aluminum mobility, and N concentration in soil are all factors that can potentially influence ectomycorrhizal fungal communities and their tree hosts. Field research will identify species using DNA-based molecular techniques and measure changes in their abundance and distribution in response to nitrogen pollution. Laboratory experiments will be conducted to examine consequences for tree performance. This will lead to a better understand of the dynamics and consequences of changes in the ectomycorrhizal fungal communities of northeastern forests.","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"dissertation research changes in ectomycorrhizal fungal communities along a nitrogen deposition gradient and their consequences for host tree performance"
9,"Amara","not vetted",517,NA,"MOLECULAR ECOLOGICAL INVESTIGATIONS OF FUNGI IN KEY NATURAL AND HUMAN CREATED ENVIRONMENTS",NA,NA,NA,NA,NA,2014,"The work outlined in this proposal is focused on obtaining a better understanding of fungal behavior, growth, and ecology in key environments. Part of the work targets the ectomycorrhizal fungi; these are mutualistic fungi that are essential for the survival and growth of forest trees. The work on these fungi will employ modern DNA sequencing methods to explore their population and community structure and will look for traits that have recently experienced strong natural selection. Part of this work involves characterizing the fungi involved in post-fire recovery of forests, and the results from this work may help us understand and improve the regeneration of forests following large catastrophic fires. Fungi also grow in our offices and homes and can have adverse effects on our health in extreme cases. Work outlined in this proposal will investigate the ways that fungi are able to grow in normal,  healthy  buildings, and this work will contribute to our understanding of the indoor enviroment. Finally fungi are becoming important in production of biofuels where their enzyme activity is used to breakdown plant material and convert it through fermentation into liquid fuels. We propose to investigate the genetics of yeasts that have the ability to grow at high temperature in order to understand how they tolerate these conditions and ferment. The results of this later work will help us engineer these fungi for improve efficiency in biofuels production.","NO","Project proposal","NO","NA","NA",NA,NA,NA,NA,NA,"molecular ecological investigations of fungi in key natural and human created environments"
10,"Amara","not vetted",527,NA,"Diversity of Nitrogen-Cycling Microorganisms at the H.J. Andrews LTER",NA,NA,NA,NA,NA,1999,"This Microbial Observatory is dedicated to the study of bacteria and fungi central to biogeochemical processes of coniferous forest ecosystems associated with the H.J. Andrews Experimental Forest, located in the Cascade Mountains of Central Oregon. The research focuses on the functional diversity of microorganisms that perform nitrogen cycle processes because N is the most limiting nutrient to tree growth in this ecosystem.  Concentration is primarily on the processes that produce and consume NO3 - because of their pivotal role in supplying N for plant growth and because of the environmental importance of N losses to ground and surface waters as NO3 - or to the atmosphere as N2 O.  The functional diversity of specific enzymes that produce and consume NO3 - in soils located at specific sites at the Andrews where aspects of N-cycling have been shown to change in response to the influence of man (timber harvest, burning) or to natural successional events (actinorhizal to coniferous species transitions) will be examined.  The following objectives are being pursued: (1) To determine how the functional diversity of key N-cycling microorganisms changes during secondary succession following the clear cutting of old-growth coniferous forest; (2) To determine the influence of grassland meadow and coniferous vegetation on the functional diversity of key N- cycling microorganisms; (3) To determine how naturally high inputs of N from actinorhizal N2 -fixing symbioses affect the functional diversity of key N cycling microorganisms; and (4) To examine how the presence of ectomycorrhizal mats affects the functional diversity of key N cycling microorganisms.  The diversity of key N cycling microorganisms is being determined using methods based on the polymerase chain reaction (PCR).  PCR primers will be selected that are  specific to genes that code for selected N cycling enzymes, concentrating on those processes that produce or consume NO3 -, such as NH3 monooxygenase, assimilatory NO3 - reductase, and dissimilatory NO2 - reductase. The diversity of the PCR products will be determined by separating them by size using gel electrophoresis either with terminal restriction fragment length polymorphism (TRFLP-PCR) or without (length heterogeneity or LH-PCR) digestion with restriction enzymes. These measures of functional diversity will be related to measurements of their respective process rates to examine whether there is a link between the types of functional enzymes and their functioning in the<br/>ecosystem.  If meaningful relationships among the process rates and the diversity of the enzyme systems that carry out these functions are found,  attempts will be made to sequence these genes, isolate the microorganisms representative of these functional groups, and characterize them by 16S rDNA sequencing.  Any isolates obtained will be maintained locally and made available to others by request. Sequences generated by this research will be deposited in GenBank.  Historically, creative cutting-edge research and educational activities conducted at the Andrews have played a major role in increasing  understanding of how temperate coniferous forest ecosystems function. Furthermore, these activities have been used to drive the<br/>development and acceptance of more sophisticated land-use policies for managing this productive ecosystem. This project will introduce molecular ecology to this ecosystem and use it to further an understanding of how disturbance and plant succession influence the microbial communities that drive the biogeochemical processes.<br/>","NO","Does not approach fire effects on ECM","NO","NA","NA",NA,NA,NA,NA,NA,"diversity of nitrogencycling microorganisms at the hj andrews lter"
